region,region_idx,n_ch_all,n_ch_sync,n_exp_all,n_exp_sync,n_sub_all,n_sub_sync,ch_ratio,ch_ratio_ch_sync,ch_ratio_sub_all,ch_ratio_exp_all,exp_all,exp_sync,AAL,BA
LH_Cont_PFCl_1,35.0,63,8.0,45,7,2075.0,226.0,0.12698412698412698,1.0158730158730158,263.4920634920635,5.7142857142857135,"Balconi 2017, Balconi 2018, Balconi 2019, Canigueral 2021, Cheng 2015, Cheng 2021, Cui 2012, Feng 2020, Fronda & Balconi 2020, Hou 2020, Hu 2017, Koide & Shimada 2018, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu T 2017, Liu Y 2017, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zheng 2018 + 2020 1, Zhu 2021 1, Zhu 2021 2","Balconi 2017, Balconi 2018, Li Yu 2021, Lu 2019a 1, Lu 2019a 2, Wang 2019, Zhang R 2021 1",54.13% Frontal_Inf_Tri_L; 38.23% Frontal_Mid_2_L; 6.07% Frontal_Inf_Oper_L,69.32% Background; 11.72% Brodmann_area_46; 10.91% Brodmann_area_9; 6.83% Brodmann_area_10
RH_Cont_PFCl_1,83.0,169,19.0,43,10,2052.0,398.0,0.11242603550295859,2.136094674556213,230.698224852071,4.834319526627219,"Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu N 2016, Liu Y 2017, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Nozawa 2019, Pan 2020, Pinti 2021, Quinones-Camacho 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2017a + 2017b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Cheng 2019, Feng 2020, Li Z 2021, Liu Y 2017, Lu 2019a 1, Pan 2020, Quinones-Camacho 2021, Zhang R 2021 1, Zhang R 2021 2, Zhao 2021 1",44.35% Frontal_Sup_2_R; 27.03% Frontal_Mid_2_R; 15.62% OFCant_R,62.64% Background; 29.40% Brodmann_area_10; 7.76% Brodmann_area_11
RH_Default_Par_1,90.0,46,5.0,33,4,2063.0,120.0,0.10869565217391304,0.5434782608695652,224.2391304347826,3.5869565217391304,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Hou 2020, Li Z 2021, Liu T 2017, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Chen 2020 2, Duan 2020 1, Li Z 2021, Xue 2018 3",39.79% Angular_R; 23.14% SupraMarginal_R; 17.42% Parietal_Inf_R; 11.62% Temporal_Sup_R; 6.78% Temporal_Mid_R,70.38% Background; 23.43% Brodmann_area_40
RH_Vis_7,57.0,30,4.0,19,3,1010.0,119.0,0.13333333333333333,0.5333333333333333,134.66666666666666,2.533333333333333,"Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Chen 2020 2, Zhang Y 2020 1, Zheng 2018 + 2020 1",74.44% Occipital_Mid_R; 13.55% Occipital_Sup_R; 6.74% Temporal_Mid_R,65.10% Background; 27.46% Brodmann_area_19
RH_Default_PFCv_2,95.0,24,5.0,14,3,631.0,79.0,0.20833333333333334,1.0416666666666667,131.45833333333334,2.916666666666667,"Canigueral 2021, Hou 2020, Li Z 2021, Liu T 2017, Liu W 2019 , Long 2021a + Long 2021b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Pinti 2021, Zhang M 2020 + 2021a","Hou 2020, Liu T 2017, Pan 2021",49.04% Frontal_Inf_Tri_R; 29.16% Frontal_Inf_Orb_2_R; 8.70% Frontal_Inf_Oper_R; 6.31% OFClat_R; 5.83% Insula_R,63.48% Background; 16.16% Brodmann_area_45; 14.82% Brodmann_area_47
LH_Default_PFC_5,46.0,159,9.0,47,7,2226.0,350.0,0.05660377358490566,0.5094339622641509,126.0,2.660377358490566,"Balconi 2017, Balconi 2018, Balconi 2019, Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Fronda & Balconi 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu N 2016, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2017a + 2017b, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2017, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Li Z 2021, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Pan 2020, Sun 2021, Wang 2019",51.49% Frontal_Sup_Medial_L; 39.10% Frontal_Sup_2_L; 6.02% Supp_Motor_Area_L,65.38% Background; 11.39% Brodmann_area_9; 11.15% Brodmann_area_8; 6.06% Brodmann_area_6; 6.02% Brodmann_area_10
RH_DorsAttn_PrCv_1,72.0,19,5.0,15,5,467.0,186.0,0.2631578947368421,1.3157894736842104,122.89473684210526,3.9473684210526314,"Balconi 2017, Balconi 2018, Balconi 2019, Canigueral 2021, Fronda & Balconi 2020, Hou 2020, Liu T 2017, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Zhang M 2020 + 2021a, Zhang M 2021b","Balconi 2017, Balconi 2018, Pan 2021, Zhang M 2020 + 2021a, Zhang M 2021b",44.81% Frontal_Inf_Oper_R; 33.55% Precentral_R; 12.93% Frontal_Inf_Tri_R,64.92% Background; 15.43% Brodmann_area_9; 9.35% Brodmann_area_6; 6.85% Brodmann_area_44
RH_Cont_Par_1,81.0,50,3.0,30,3,1845.0,550.0,0.06,0.18,110.7,1.7999999999999998,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Hou 2020, Liu Y 2017, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Pan 2017 1, Yang 2020, Zheng 2018 + 2020 1",59.43% SupraMarginal_R; 31.09% Parietal_Inf_R; 8.49% no_label,65.92% Background; 34.08% Brodmann_area_40
RH_SalVentAttn_TempOccPar_2,75.0,50,4.0,29,3,1295.0,112.0,0.08,0.32,103.60000000000001,2.32,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Hou 2020, Li Z 2021, Liu T 2017, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Quinones-Camacho 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Li Z 2021, Quinones-Camacho 2021, Zheng 2018 + 2020 1",68.61% SupraMarginal_R; 10.81% Temporal_Sup_R; 8.46% Rolandic_Oper_R; 7.52% Postcentral_R,64.57% Background; 22.56% Brodmann_area_40
LH_Default_Par_2,41.0,50,11.0,13,6,447.0,132.0,0.22,2.42,98.34,2.86,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Liu T 2017, Liu Y 2017, Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021, Zhu 2021 1, Zhu 2021 2","Li Z 2021, Liu Y 2017, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021",36.97% Angular_L; 20.68% no_label; 18.73% Parietal_Inf_L; 11.16% Occipital_Mid_L; 7.49% Temporal_Mid_L,70.00% Background; 15.30% Brodmann_area_39; 9.40% Brodmann_area_40
RH_SomMot_4,62.0,23,3.0,17,3,741.0,65.0,0.13043478260869565,0.3913043478260869,96.65217391304347,2.217391304347826,"Canigueral 2021, Hou 2020, Li Z 2021, Liu T 2017, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Quinones-Camacho 2021","Hou 2020, Li Z 2021, Quinones-Camacho 2021",62.76% Postcentral_R; 33.37% Precentral_R,63.14% Background; 26.28% Brodmann_area_6; 5.98% Brodmann_area_4
LH_DorsAttn_Post_2,17.0,17,3.0,14,3,531.0,102.0,0.17647058823529413,0.5294117647058824,93.70588235294119,2.4705882352941178,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Liu T 2017, Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Pan 2020, Zhang M 2017a + 2017b, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Li Z 2021, Liu T 2017, Zhang M 2017a + 2017b",29.06% Parietal_Inf_L; 28.95% SupraMarginal_L; 26.54% Postcentral_L; 15.45% no_label,61.33% Background; 14.87% Brodmann_area_40; 11.10% Brodmann_area_2
LH_SalVentAttn_ParOper_1,24.0,18,4.0,12,3,399.0,100.0,0.2222222222222222,0.8888888888888888,88.66666666666666,2.6666666666666665,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Pan 2018 1, Pan 2018 2, Pan 2020, Zhang M 2017a + 2017b, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Li Z 2021, Zhang M 2017a + 2017b, Zhao 2021 1",54.68% SupraMarginal_L; 19.18% no_label; 14.18% Temporal_Sup_L; 11.21% Parietal_Inf_L,62.47% Background; 34.11% Brodmann_area_40
RH_SomMot_1,59.0,31,2.0,25,2,1333.0,105.0,0.06451612903225806,0.12903225806451613,86.0,1.6129032258064515,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Hou 2020, Li Z 2021, Liu T 2017, Liu J 2019, Liu W 2019 , Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Long 2021a + Long 2021b, Zhang Y 2020 1",61.86% Temporal_Sup_R; 12.20% Heschl_R; 7.70% Insula_R; 6.96% Temporal_Pole_Sup_R; 6.96% Rolandic_Oper_R,57.42% Background; 14.54% Brodmann_area_22; 9.61% Brodmann_area_13; 8.26% Brodmann_area_41; 6.84% Brodmann_area_42
RH_DorsAttn_Post_1,67.0,48,3.0,26,2,1365.0,152.0,0.0625,0.1875,85.3125,1.625,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Hou 2020, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Lu 2019b 1, Tang 2016 1",64.75% Temporal_Mid_R; 16.66% Occipital_Mid_R; 13.16% Angular_R,64.69% Background; 19.46% Brodmann_area_39; 5.61% Brodmann_area_19
LH_Default_Par_1,40.0,16,2.0,15,2,647.0,197.0,0.125,0.25,80.875,1.875,"Canigueral 2021, Hou 2020, Li Z 2021, Liu N 2016, Liu T 2017, Liu W 2019 , Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Hou 2020, Liu W 2019 ",69.08% Temporal_Mid_L; 18.19% Temporal_Sup_L; 12.05% no_label,66.85% Background; 19.98% Brodmann_area_22; 6.36% Brodmann_area_21; 5.47% Brodmann_area_39
LH_DorsAttn_Post_6,21.0,6,3.0,4,3,154.0,118.0,0.5,1.5,77.0,2.0,"Koide & Shimada 2018, Liu Y 2017, Zhu 2021 1, Zhu 2021 2","Koide & Shimada 2018, Liu Y 2017, Zhu 2021 1",57.52% Parietal_Sup_L; 22.34% Precuneus_L; 14.93% Postcentral_L,80.06% Background; 13.78% Brodmann_area_7
LH_Default_Temp_2,39.0,6,1.0,6,1,444.0,48.0,0.16666666666666666,0.16666666666666666,74.0,1.0,"Liu T 2017, Liu W 2019 , Long 2021a + Long 2021b, Pan 2020, Zhao 2021 1, Zhao 2021 2",Pan 2020,88.43% Temporal_Mid_L; 6.80% no_label,71.07% Background; 18.37% Brodmann_area_21; 10.01% Brodmann_area_22
RH_Default_Temp_3,93.0,10,1.0,9,1,734.0,180.0,0.1,0.1,73.4,0.9,"Canigueral 2021, Liu J 2019, Liu W 2019 , Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Zheng 2018 + 2020 1",Liu W 2019 ,48.97% Temporal_Mid_R; 47.08% Temporal_Sup_R,72.89% Background; 17.31% Brodmann_area_21; 9.04% Brodmann_area_22
LH_Cont_Par_1,34.0,5,2.0,5,2,182.0,66.0,0.4,0.8,72.8,2.0,"Liu T 2017, Liu Y 2017, Pan 2020, Zhu 2021 1, Zhu 2021 2","Liu Y 2017, Pan 2020",71.29% Parietal_Inf_L; 14.02% Parietal_Sup_L; 7.76% no_label,67.34% Background; 19.99% Brodmann_area_40; 8.65% Brodmann_area_7
