publication,title,doi,n,nDyads,propFem,ageMean,ageSD,area,task,contrasts,method,space,x,y,z,stat,statType,location,comments
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,33,-42,66,0.31,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-36,-42,63,0.42,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-36,-33,45,0.32,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-54,-21,39,0.29,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-48,-30,54,0.28,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,48,-60,-3,0.25,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,45,-75,-9,0.22,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,24,-87,-15,0.15,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,36,-81,-12,0.15,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-48,-69,-3,0.26,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-27,-51,-24,0.16,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-33,-9,66,0.34,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,36,-6,63,0.29,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-21,-57,-57,0.19,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-9,-72,-48,0.16,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,57,9,33,0.25,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,21,-57,-54,0.18,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,30,-45,-51,0.12,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,-51,6,30,0.22,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,60,-45,12,0.14,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,60,-39,24,0.12,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,51,33,18,0.12,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,24,-51,-24,0.11,Z (rp),Table 1,pseudo-hyperscanning
Liu 2021a + 2021b,Reduced listener–speaker neural coupling underlies speech understanding difficulty in older adults - YOUNG,10.1007/s00429-021-02271-2,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-Atlas,MNI,66,-20,6,4.85,ISC,Table S2-0s,"pseudo-hyperscanning,, (coord. = center of correlated ROIs)"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,66,-9,3,9.731367111,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,51,-18,-6,5.093237877,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,42,-33,6,4.819529057,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-63,-15,6,6.407019138,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-51,-12,3,5.01247406,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-57,-57,-6,5.747279167,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-57,-45,-15,3.813826323,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-27,-39,60,5.741624355,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,0,30,33,5.087209702,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,-36,-48,42,4.752934456,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,33,-60,51,4.56302166,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Liu 2021a + 2021b,The “two-brain” approach reveals the active role of task-deactivated default mode network in speech comprehension,10.1101/2021.03.02.433669,33,32,0.51,NA,NA,communication,speak/listen,"pseudo: speaker/listener-ISC, 0 sec time-lag",wb-VW,MNI,39,-51,45,4.12035799,ISC,ISC map,"preprint, data from n=63 subjects but n=33 overlapping w/ Liu 2021"
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,68,-34,38,4.16,T,Table 1,none
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,56,-46,38,4.09,T,Table 1,none
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,52,-44,36,4.03,T,Table 1,none
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,64,-36,34,3.93,T,Table 1,none
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,60,-38,38,3.58,T,Table 1,none
Miyata 2021,Neural substrates for sharing intention in action during face-to-face imitation,10.1016/j.neuroimage.2021.117916,32,16,0.69,22.4,NA,joint action,imitating facial expr.,dyad-ISC during imitation > random-ISC,wb-VW,MNI,68,-30,40,3.52,T,Table 1,none
Saito 2010,“Stay tuned”: inter-individual neural synchronization during mutual gaze and joint attention,10.3389/fnint.2010.00127,38,19,0,24.5,4.1,joint attention,JA via eye gaze,dyad-ISC during JA > random-ISC,wb-VW,MNI,44,26,-6,4.04,T,Table 3,none
Saito 2010,“Stay tuned”: inter-individual neural synchronization during mutual gaze and joint attention,10.3389/fnint.2010.00127,38,19,0,24.5,4.1,joint attention,JA via eye gaze,dyad-ISC during JA > random-ISC,wb-VW,MNI,52,22,0,3.62,T,Table 3,none
Saito 2010,“Stay tuned”: inter-individual neural synchronization during mutual gaze and joint attention,10.3389/fnint.2010.00127,38,19,0,24.5,4.1,joint attention,JA via eye gaze,dyad-ISC during JA > random-ISC,wb-VW,MNI,44,10,-8,3.29,T,Table 3,none
