publication,title,doi,n,nDyads,nFem,nMale,ageMean,ageSD,area,task,contrast,waveLen,samplRate,Hb,FqBand,coordinate source,probe,array,channelPaper,sync,x,y,z,reconstrQuality,selected
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,1,0,-45,34,42,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,2,1,-37,18,59,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,3,0,38,17,29,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,4,1,37,14,55,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,5,1,-19,41,36,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,6,0,-20,33,59,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,7,1,25,38,37,3,0
Balconi 2019,Donate or receive? Social hyperscanning application with fNIRS,10.1007/s12144-019-00247-4,32,16,32,0,22.59,1.83,cooperation,synchronize selective attention after gift exchange,ISC after material gift </> ISC after experiential gift,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,8,0,15,22,46,3,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,1,0,-40,-63,61,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,2,0,-49,-55,57,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,3,0,-45,-75,46,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,4,0,-49,27,39,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,5,0,-58,1,44,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,6,0,-59,-23,52,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,7,0,-59,-47,52,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,8,0,-53,-67,46,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,9,0,-48,39,27,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,10,0,-59,12,29,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,11,0,-64,-11,38,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,12,0,-65,-35,44,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,13,0,-60,-58,43,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,14,0,-44,-84,32,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,15,1,-58,26,18,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,16,0,-65,-1,25,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,17,0,-68,-24,32,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,18,0,-66,-47,34,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,19,0,-51,-77,30,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,20,1,-55,37,6,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,21,0,-62,10,10,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,22,0,-68,-14,17,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,23,0,-69,-37,22,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,24,0,-64,-59,21,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,25,0,-51,46,-4,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,26,1,-56,23,-4,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,27,0,-67,-6,-4,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,28,0,-71,-28,4,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,29,0,-68,-50,9,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,30,0,43,-66,55,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,31,0,46,-78,42,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,32,0,53,-59,55,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,33,0,54,-70,41,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,34,0,62,-49,50,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,35,0,64,-23,49,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,36,0,61,2,42,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,37,0,52,29,38,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,38,0,44,-86,25,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,39,0,61,-61,37,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,40,0,68,-36,41,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,41,0,67,-10,37,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,42,0,63,13,25,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,43,0,51,40,27,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,44,0,51,-79,24,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,45,0,67,-49,27,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,46,0,70,-25,29,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,47,0,68,0,20,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,48,0,60,26,16,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,49,0,64,-62,13,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,50,0,71,-38,16,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,51,0,71,-13,12,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,52,0,63,9,3,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,53,0,57,38,6,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,54,0,69,-52,2,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,55,0,73,-28,0,NA,0
Canigueral 2021,Facial and neural mechanisms during interactive disclosure of biographical information,10.1016/j.neuroimage.2020.117572,30,15,22,8,28.2,7.33,communication,"answer to statement about oneself, answer shared vs not shared",prediction of partner's ISC from rTPJ during shared > private conditions,"780, 805, 830",27,HbR,whole,Digitizer(voxel),fronttempparRL,custom,56,0,69,-5,-9,NA,0
