,zr,p,q
neurosynth_topic_145_mind_mental_social_1002_z_desc-specificity.nii.gz,0.06107657,0.3792,0.6791098
neurosynth_topic_26_time_delay_temporal_1959_z_desc-specificity.nii.gz,0.07423806,0.3806,0.6791098
neurosynth_topic_157_somatosensory_stimulation_cortex_887_z_desc-specificity.nii.gz,0.07351912,0.3938,0.68915
neurosynth_topic_92_executive_control_functions_729_z_desc-specificity.nii.gz,0.063839816,0.4034,0.6926302
neurosynth_topic_55_music_musical_pitch_354_z_desc-specificity.nii.gz,0.046980653,0.4254,0.71687776
neurosynth_topic_181_creative_creativity_generation_264_z_desc-specificity.nii.gz,0.035843857,0.4346,0.7190654
neurosynth_topic_159_inhibition_response_inhibitory_1123_z_desc-specificity.nii.gz,0.029447863,0.461,0.749125
neurosynth_topic_74_feedback_negative_performance_553_z_desc-specificity.nii.gz,0.027793474,0.47,0.7503509
neurosynth_topic_11_cognitive_function_performance_4813_z_desc-specificity.nii.gz,-0.01797001,0.5232,0.82088274
neurosynth_topic_39_light_shed_alertness_452_z_desc-specificity.nii.gz,-0.13346775,0.6884,0.9998
neurosynth_topic_118_goal_goals_planning_362_z_desc-specificity.nii.gz,-0.15370873,0.744,0.9998
neurosynth_topic_112_context_empathy_contextual_752_z_desc-specificity.nii.gz,-0.16650209,0.7594,0.9998
neurosynth_topic_128_prediction_error_outcome_1082_z_desc-specificity.nii.gz,-0.123814344,0.7622,0.9998
neurosynth_topic_154_social_interactions_interaction_1208_z_desc-specificity.nii.gz,-0.18523832,0.7766,0.9998
neurosynth_topic_57_learning_learned_sequence_1406_z_desc-specificity.nii.gz,-0.1701083,0.7914,0.9998
neurosynth_topic_186_decision_making_choice_1379_z_desc-specificity.nii.gz,-0.1866627,0.8108,0.9998
neurosynth_topic_167_human_humans_animal_1220_z_desc-specificity.nii.gz,-0.20051667,0.8144,0.9998
neurosynth_topic_169_acupuncture_stimulation_vstm_174_z_desc-specificity.nii.gz,-0.1782147,0.8156,0.9998
neurosynth_topic_160_bias_biases_spd_330_z_desc-specificity.nii.gz,-0.13560493,0.8252,0.9998
neurosynth_topic_111_memory_encoding_hippocampal_1760_z_desc-specificity.nii.gz,-0.20800158,0.8346,0.9998
neurosynth_topic_28_memory_retrieval_episodic_1064_z_desc-specificity.nii.gz,-0.23269854,0.8364,0.9998
neurosynth_topic_30_events_future_personal_542_z_desc-specificity.nii.gz,-0.22595122,0.8376,0.9998
neurosynth_topic_131_test_performance_intelligence_554_z_desc-specificity.nii.gz,-0.23368849,0.8552,0.9998
neurosynth_topic_139_faces_emotional_facial_1224_z_desc-specificity.nii.gz,-0.2196757,0.8808,0.9998
neurosynth_topic_146_pain_painful_chronic_778_z_desc-specificity.nii.gz,-0.28915998,0.9034,0.9998
neurosynth_topic_166_pictures_picture_images_876_z_desc-specificity.nii.gz,-0.204641,0.9276,0.9998
neurosynth_topic_153_phase_women_menstrual_256_z_desc-specificity.nii.gz,-0.32720372,0.9472,0.9998
neurosynth_topic_182_experience_subjective_ratings_1225_z_desc-specificity.nii.gz,-0.27893594,0.967,0.9998
neurosynth_topic_177_mood_rumination_induction_255_z_desc-specificity.nii.gz,-0.3783615,0.9826,0.9998
neurosynth_topic_58_autonomic_arousal_rate_498_z_desc-specificity.nii.gz,-0.4414734,0.9878,0.9998
neurosynth_topic_149_olfactory_taste_odor_237_z_desc-specificity.nii.gz,-0.4626872,0.9918,0.9998
neurosynth_topic_137_regulation_emotion_reappraisal_737_z_desc-specificity.nii.gz,-0.36360145,0.997,0.9998
neurosynth_topic_180_amygdala_threat_fear_885_z_desc-specificity.nii.gz,-0.45464024,0.9978,0.9998
neurosynth_topic_66_emotional_negative_amygdala_2367_z_desc-specificity.nii.gz,-0.4502257,0.9978,0.9998
neurosynth_topic_130_risk_high_taking_478_z_desc-specificity.nii.gz,-0.49993345,0.9978,0.9998
neurosynth_topic_196_personality_trait_scores_864_z_desc-specificity.nii.gz,-0.48072767,0.9978,0.9998
neurosynth_topic_13_fear_conditioning_extinction_377_z_desc-specificity.nii.gz,-0.43664455,0.9992,0.9998
neurosynth_topic_161_women_men_sex_753_z_desc-specificity.nii.gz,-0.49308282,0.9994,0.9998
neurosynth_topic_197_reward_striatum_anticipation_1331_z_desc-specificity.nii.gz,-0.5773068,0.9998,0.9998
neurosynth_topic_42_negative_positive_vmpfc_1374_z_desc-specificity.nii.gz,-0.5785101,0.9998,0.9998
neurosynth_topic_175_dopamine_dopaminergic_striatum_478_z_desc-specificity.nii.gz,-0.6603321,0.9998,0.9998
neurosynth_topic_158_pet_glucose_metabolism_380_z_desc-specificity.nii.gz,-0.5560951,0.9998,0.9998
